9915	COCP	제약	1.56	2.07	0.95	코크리스털 파머	1.4830
9916	CODA	컴퓨터전자장비/기기	0.30	1.64	26.91	코다 옥토퍼스 그룹	8.1518
9917	CODX	건강관리장비 및 서비스	1.14	0.20	0.25	코 다이어그노스틱스	0.2845
9918	COEP		4.95	3.71	1.50	코입티스 테라퓨틱스 홀딩스	7.4228
9919	COFS		1.20	1.04	24.68	초이스원 파이낸셜 서비시스	29.7150
9920	COGT		2.38	7.66	3.14	코젠트 바이오사이언시스	7.4600
9921	COHU	반도체 및 반도체장비	1.84	1.22	11.04	코후	20.2950
9922	COIN		5.34	8.46	65.22	코인베이스 글로벌	348.0500
9923	COKE	음식료 및 담배생산	5.75	6.65	19.88	코카콜라 컨솔리데이티드	114.3400
9924	COLB	상업은행	2.37	0.99	10.43	컬럼비아 뱅킹 시스템스	24.7000
9925	COLL	제약	1.21	4.13	24.84	콜레지움 파머슈티컬	30.1400
9926	COLM	섬유의복 및 호화제품	3.91	2.06	16.32	컬럼비아 스포츠웨어	63.8900
9927	COO		2.06	1.76	35.49	쿠퍼	73.1700
9928	COOP	금융서비스	8.81	2.06	17.86	미스터 쿠퍼 그룹	157.3100
9929	CORT	제약	1.15	10.91	61.04	코셉트 테라퓨틱스	70.3200
9930	COSM		1.04	0.43	0.40	코스모스 헬스	0.4098
9931	COST	음식료 도매	17.63	16.01	55.52	코스트코 홀세일	978.8450
9932	COYA		1.07	2.89	5.39	코야 테라퓨틱스	5.7690
9933	CPB		1.51	2.45	21.05	캠벨스	31.8600
9934	CPBI		0.95	0.70	15.66	센트럴 플레인스 뱅크셰어스	14.8800
9935	CPHC	여행서비스 및 제품	0.16	1.15	116.77	캔터베리 파크 홀딩스	19.0100
9936	CPIX	제약	0.24	1.83	14.58	컴벌랜드 파머슈티컬스	3.5100
9937	CPOP		4.32	0.15	0.14	팝 컬처 그룹	0.5946
9938	CPRT	상업 및 전문서비스	1.51	5.38	32.30	코파트	48.8650
9939	CPRX	바이오	1.57	3.27	13.60	캐털리스트 파머슈티컬스	21.3100
9940	CPSH	컴퓨터전자장비/기기	0.20	2.88	14.64	CPS 테크놀로지스	2.9200
9941	CPSS	금융서비스	0.80	0.72	12.58	컨슈머 포트폴리오 서비시스	10.0125
9942	CRACU					CAL REDWOOD ACQUISITION CORP UNIT 1 CL A & 1 RT(15/05/20	
9943	CRAI	상업 및 전문서비스	7.41	5.70	25.76	CRA 인터내셔널	190.7900
