9939	화학	123.00	1.44	118.62	1.22	14590	001550	조비
9940	비금속	86.00	0.77	15.75	3.47	9500	001560	제일연마
9941	화학	-340.00	1.29	-4.16	-17.56	9900	001570	금양
9942	운송장비·부품	-46.00	0.25	2.17	-9.19	496	001620	케이비아이동국실업
9943	제약	1185.00	0.44	7.93	4.05	53200	001630	종근당홀딩스
9944	음식료·담배	788.00	0.59	8.78	8.00	23200	001680	대상
9945	증권	6607.00	1.04	18.59	6.45	122800	001720	신영증권
9946	유통	-23.00	0.47	21.66	-0.99	4635	001740	SK네트웍스
9947	증권	1590.00	0.47	6.18	16.29	18090	001750	한양증권
9948	금속	2410.00	0.41	7.59	5.58	18280	001770	SHD
9949	금속	116.00	0.72	12.37	14.13	2325	001780	알루코
9950	음식료·담배	402.00	0.53	14.55	27.14	3100	001790	대한제당
9951	금융	607.00	0.60	8.85	6.41	22700	001800	오리온홀딩스
9952	종이·목재	-6.00	0.19	11.68	-0.26	1741	001810	무림SP
9953	전기·전자	388.00	1.03	12.52	6.07	26300	001820	삼화콘덴서
9954	건설	-2172.00	2.14	-0.74	-127.38	1616	001840	이화공영
9955	금속	-338.00	0.32	13.25	-1.65	26600	001940	KISCO홀딩스
9956	금융	-1171.00	0.41	3.99	-3.87	49550	002020	코오롱
9957	일반서비스	4234.00	0.58	11.18	3.08	328000	002030	아세아
9958	섬유·의류	-57.00	0.27	-22.63	-8.04	792	002070	비비안
9959	화학	1318.00	0.78	11.52	39.24	10150	002100	경농
9960	음식료·담배	100.00	0.67	18.26	9.12	2940	002140	고려산업
9961	일반서비스	130.00	0.88	-43.01	6.93	6710	002150	도화엔지니어링
9962	섬유·의류	1070.00	0.36	14.94	2.96	54800	002170	삼양통상
9963	종이·목재	-5.00	0.40	35.76	-0.25	3040	002200	한국수출포장
9964	제약	-278.00	0.39	-3.50	-15.27	973	002210	동성제약
9965	금속	-7.00	0.54	-17.39	-0.45	3425	002220	한일철강
9966	의료·정밀기기	46.00	0.58	14.42	2.82	4195	002230	피에스텍
9967	금속	301.00	0.28	14.74	1.82	18380	002240	고려제강
9968	건설	471.00	0.64	7.57	8.71	3565	002290	삼일기업공사
9969	종이·목재	282.00	0.42	15.49	5.74	8380	002310	아세아제지
9970	운송·창고	-79.00	0.22	-73.43	-0.34	21000	002320	한진
9971	화학	382.00	0.35	5.21	8.44	6320	002350	넥센타이어
9972	화학	-24.00	0.65	-5.11	-13.70	480	002360	SH에너지화학
9973	화학	4957.00	0.53	9.08	3.12	317500	002380	KCC
9974	제약	-558.00	0.56	-3.09	-10.88	11790	002390	한독
9975	건설	-326.00	2.84	-1.06	-251.19	1935	002410	범양건영
9976	유통	-508.00	1.24	-10.67	-10.99	5420	002420	세기상사
9977	제조	53.00	0.40	37.97	7.08	1329	002450	삼익악기
9978	건설	460.00	0.29	9.63	4.87	11370	002460	HS화성
9979	음식료·담배	-755.00	0.64	37.51	-1.25	157200	002600	조흥
9980	일반서비스	144.00	0.46	-2.78	2.98	8890	002620	제일파마홀딩스
9981	제약	-111.00	1.33	-7.28	-16.81	808	002630	오리엔트바이오
9982	음식료·담배	18.00	0.54	-4.74	5.02	791	002680	한탑
9983	금속	-24.00	0.21	-68.54	-0.32	1645	002690	동일제강
9984	유통	20.00	1.35	79.45	1.76	1589	002700	신일전자
9985	금속	4.00	1.84	23.24	0.15	17870	002710	TCC스틸
9986	제약	88.00	1.13	20.00	8.23	4920	002720	국제약품
9987	화학	-25.00	1.35	-41.96	-3.16	1049	002760	보락
9988	건설	15.00	0.43	52.47	0.81	787	002780	진흥기업
9989	화학	623.00	0.89	12.40	7.03	32550	002790	아모레퍼시픽홀딩스
9990	제약	66.00	1.33	17.92	6.07	5770	002800	신신제약
9991	유통	900.00	0.53	5.28	11.86	16230	002810	삼영무역
9992	종이·목재	-277.00	0.16	-2.35	-6.32	2925	002820	SUN&L
9993	화학	2753.00	1.92	15.92	12.99	169400	002840	미원상사
9994	유통	20.00	0.56	141.11	3.89	1270	002870	신풍
9995	운송장비·부품	33.00	1.25	10.61	13.56	1178	002880	대유에이텍
9996	기계·장비	229.00	0.55	12.87	10.10	5200	002900	TYM
9997	운송장비·부품	74.00	0.20	-5.15	2.64	2215	002920	유성기업
9998	화학	28196.00	4.31	14.95	28.93	421500	002960	한국쉘석유
9999	건설	34.00	0.53	-0.57	2.25	3440	002990	금호건설
10000	제약	-1.00	1.07	-100.00	-0.11	3800	003000	부광약품
10001	유통	572.00	0.52	9.18	6.19	5250	003010	혜인
10002	금융	11197.00	0.48	22.34	9.16	231000	003030	세아제강지주
10003	제약	-217.00	0.35	-0.84	-48.30	678	003060	에이프로젠바이오로직스
10004	건설	-1809.00	0.34	8.57	-24.28	10500	003070	코오롱글로벌
10005	화학	266.00	0.43	-16.05	16.73	2760	003080	SB성보
10006	제약	450.00	1.27	23.59	10.42	23500	003090	대웅
10007	운송·창고	1358.00	0.35	4.95	8.99	21350	003100	선광
10008	제약	985.00	0.66	24.87	3.41	24500	003120	일성아이에스
